Season,Driver,Constructor,Driver_Effect,Constructor_Effect
2018,HAM,Mercedes,0,0.003
2018,VET,Ferrari,-0.001,0.004
2018,RAI,Ferrari,0.001,0.004
2018,VER,Red Bull,-0.001,0.011
2018,BOT,Mercedes,0,0.003
2018,RIC,Red Bull,0.001,0.011
2018,HUL,Alpine,0,0.023
2018,PER,Aston Martin,0.001,0.021
2018,MAG,Haas,0.001,0.022
2018,SAI,Alpine,0,0.023
2018,ALO,McLaren,-0.001,0.031
2018,OCO,Aston Martin,0,0.021
2018,LEC,Kick Sauber,-0.002,0.003
2018,GRO,Haas,-0.001,0.022
2018,GAS,Racing Bulls,-0.002,0.033
2018,VAN,McLaren,0.002,0.031
2018,ERI,Kick Sauber,0.002,0.003
2018,STR,Williams,0,0.037
2018,HAR,Racing Bulls,0.003,0.033
2018,SIR,Williams,0,0.037
