Season,Driver,Standing,Driver_Effect_Quali,Driver_Effect_Race
2025,NOR,1,0,0
2025,VER,2,-0.008,-0.003
2025,PIA,3,0,0
2025,RUS,4,-0.003,-0.001
2025,LEC,5,-0.002,-0.001
2025,HAM,6,0.003,0.001
2025,ANT,7,0.004,0.001
2025,ALB,8,0.003,0
2025,SAI,9,-0.001,0
2025,ALO,10,-0.002,-0.001
2025,HUL,11,0.001,0.001
2025,HAD,12,0.002,0
2025,BEA,13,0,0
2025,LAW,14,0.006,-0.002
2025,OCO,15,0.002,0
2025,STR,16,0.005,0.001
2025,TSU,17,0.004,0.006
2025,GAS,18,-0.002,0
2025,BOR,19,0.002,0
2025,COL,20,0.004,0
2025,DOO,21,0,0.001
,,,,
