,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,season
driver,0.00266,0.00122,7.00E-05,0.00474,4.00E-05,3.00E-05,850.0724,641.85884,1.0146,2018
constructor,0.02507,0.00524,0.017,0.03552,0.00017,0.00014,893.70483,1529.5182,1.00204,2018
round,0.00182,0.00074,0.00034,0.00321,2.00E-05,1.00E-05,1071.98114,1286.19642,1.00104,2018
sigma,0.00887,0.00034,0.00823,0.00947,1.00E-05,1.00E-05,3750.03124,3066.3878,1.00215,2018
driver,0.00339,0.00111,0.00151,0.00539,3.00E-05,3.00E-05,1176.90223,1709.37821,1.00055,2019
constructor,0.02403,0.00535,0.01473,0.03347,0.00018,0.00013,867.5315,1459.40693,1.00128,2019
round,0.00387,0.00076,0.00255,0.00522,2.00E-05,2.00E-05,1454.75137,1963.96654,1.00157,2019
sigma,0.00681,0.00025,0.00634,0.00726,0,0,4863.3068,3083.41998,0.99969,2019
driver,0.00215,0.00167,0,0.00515,4.00E-05,3.00E-05,1462.85583,1714.43706,1.00147,2020
constructor,0.02254,0.00578,0.01244,0.03336,0.0002,0.00013,774.81854,1375.36366,1.00768,2020
round,0.01491,0.00212,0.0112,0.01896,5.00E-05,3.00E-05,1524.10797,2174.63313,1.00217,2020
sigma,0.02023,0.0008,0.01876,0.02175,1.00E-05,1.00E-05,5277.97005,2982.84144,1.00012,2020
driver,0.005,0.00248,5.00E-05,0.00905,7.00E-05,4.00E-05,1178.05248,1740.36982,1.00679,2021
constructor,0.02228,0.00551,0.01337,0.03249,0.00014,0.00014,1590.22005,2263.83678,1.00273,2021
round,0.00554,0.00175,0.0024,0.00892,5.00E-05,3.00E-05,1403.25676,1440.75695,1.00152,2021
sigma,0.02334,0.00085,0.02174,0.02493,1.00E-05,1.00E-05,5426.92522,2956.89227,1.00067,2021
driver,0.00298,0.00175,0,0.00578,5.00E-05,4.00E-05,1060.65346,1398.68622,1.00091,2022
constructor,0.02172,0.00535,0.01247,0.03196,0.00018,0.00011,886.02825,1485.19062,1.00484,2022
round,0.01268,0.0018,0.00935,0.01597,5.00E-05,3.00E-05,1474.82773,2527.50966,1.00237,2022
sigma,0.01707,0.00063,0.01584,0.01821,1.00E-05,1.00E-05,6606.45844,3058.41988,1.00078,2022
driver,0.0065,0.00297,0.00057,0.01179,9.00E-05,5.00E-05,997.6961,1311.16285,1.00259,2023
constructor,0.02071,0.00581,0.01024,0.03142,0.00016,0.00012,1210.42924,1435.23117,1.00073,2023
round,0.01492,0.00208,0.01107,0.01875,5.00E-05,3.00E-05,1790.90725,2790.13996,1.00198,2023
sigma,0.02879,0.00102,0.02685,0.03063,2.00E-05,2.00E-05,4189.38556,2929.85574,1.00083,2023
driver,0.004,0.00146,0.0012,0.0067,4.00E-05,3.00E-05,1231.13974,1663.76331,1.00195,2024
constructor,0.0168,0.00445,0.00964,0.02544,0.00014,0.00012,1047.92794,1709.75169,1.00312,2024
round,0.00774,0.00128,0.0055,0.01028,3.00E-05,2.00E-05,1396.07095,2564.0019,1.00386,2024
sigma,0.01347,0.00046,0.01262,0.01436,1.00E-05,1.00E-05,5711.99244,2995.87065,1.00001,2024
driver,0.0049,0.00137,0.00269,0.00727,5.00E-05,5.00E-05,991.88441,1204.16976,1.00792,2025
constructor,0.01317,0.00371,0.00703,0.02016,0.00012,0.0001,927.59114,1410.44453,1.00194,2025
round,0.00606,0.00101,0.00421,0.00792,3.00E-05,2.00E-05,1040.01243,1615.52601,1.0012,2025
sigma,0.00732,0.00025,0.00687,0.0078,0,0,4124.86784,2997.1702,0.99927,2025
driver,0.00772,0.00112,0.00573,0.00983,3.00E-05,2.00E-05,1329.0535,2161.9963,1.00261,all season quali
constructor,0.02343,0.00518,0.01482,0.03307,0.00021,0.00018,595.96136,1106.98415,1.0099,all season quali
round,0.01062,0.00062,0.00949,0.01176,2.00E-05,0.00002,1474.9398,2273.72056,1.00288,all season quali
sigma,0.01781,0.00023,0.01737,0.01822,0,0,7382.81732,2658.09748,1.00059,all season quali
driver,0.00675,0.001,0.00499,0.00867,4.00E-05,0.00002,692.41437,1330.52697,1.00458,all season race
constructor,0.02863,0.00561,0.01957,0.03948,0.00034,0.00021,290.68636,710.28959,1.01418,all season race
round,0.01871,0.00107,0.01668,0.02063,8.00E-05,0.00006,204.67682,140.57328,1.02472,all season race
sigma,0.0149,0.0002,0.01452,0.01527,0,0,3184.38246,2749.09565,1.00142,all season race
