Season,Round,Season_Round,Grand_Prix,Driver,Team,Quali_Position,Pole_Gap_Position,Pole_Time,Quali_Time,Normalised_Pole_Gap
2024,1,2024-01,Bahrain Grand Prix,VER,Red Bull Racing,1,2,89.165,89.179,0.000157012
2024,1,2024-01,Bahrain Grand Prix,LEC,Ferrari,2,1,89.165,89.165,0
2024,1,2024-01,Bahrain Grand Prix,RUS,Mercedes,3,3,89.165,89.485,0.003588852
2024,1,2024-01,Bahrain Grand Prix,SAI,Ferrari,4,4,89.165,89.507,0.003835586
2024,1,2024-01,Bahrain Grand Prix,PER,Red Bull Racing,5,5,89.165,89.537,0.004172041
2024,1,2024-01,Bahrain Grand Prix,ALO,Aston Martin,6,6,89.165,89.542,0.004228116
2024,1,2024-01,Bahrain Grand Prix,NOR,McLaren,7,7,89.165,89.614,0.005035608
2024,1,2024-01,Bahrain Grand Prix,PIA,McLaren,8,8,89.165,89.683,0.005809454
2024,1,2024-01,Bahrain Grand Prix,HAM,Mercedes,9,9,89.165,89.71,0.006112264
2024,1,2024-01,Bahrain Grand Prix,HUL,Haas F1 Team,10,10,89.165,89.851,0.007693602
2024,1,2024-01,Bahrain Grand Prix,TSU,Racing Bulls,11,12,89.165,90.129,0.010811417
2024,1,2024-01,Bahrain Grand Prix,STR,Aston Martin,12,11,89.165,89.965,0.00897213
2024,1,2024-01,Bahrain Grand Prix,ALB,Williams,13,13,89.165,90.221,0.011843212
2024,1,2024-01,Bahrain Grand Prix,RIC,Racing Bulls,14,14,89.165,90.278,0.012482476
2024,1,2024-01,Bahrain Grand Prix,MAG,Haas F1 Team,15,15,89.165,90.529,0.015297482
2024,1,2024-01,Bahrain Grand Prix,BOT,Kick Sauber,16,16,89.165,90.756,0.017843324
2024,1,2024-01,Bahrain Grand Prix,ZHO,Kick Sauber,17,17,89.165,90.757,0.017854539
2024,1,2024-01,Bahrain Grand Prix,SAR,Williams,18,18,89.165,90.77,0.018000336
2024,1,2024-01,Bahrain Grand Prix,OCO,Alpine,19,19,89.165,90.793,0.018258285
2024,1,2024-01,Bahrain Grand Prix,GAS,Alpine,20,20,89.165,90.948,0.019996635
2024,2,2024-02,Saudi Arabian Grand Prix,VER,Red Bull Racing,1,1,87.472,87.472,0
2024,2,2024-02,Saudi Arabian Grand Prix,LEC,Ferrari,2,2,87.472,87.791,0.003646881
2024,2,2024-02,Saudi Arabian Grand Prix,PER,Red Bull Racing,3,3,87.472,87.807,0.003829797
2024,2,2024-02,Saudi Arabian Grand Prix,ALO,Aston Martin,4,4,87.472,87.846,0.004275654
2024,2,2024-02,Saudi Arabian Grand Prix,PIA,McLaren,5,5,87.472,88.089,0.007053686
2024,2,2024-02,Saudi Arabian Grand Prix,NOR,McLaren,6,6,87.472,88.132,0.007545272
2024,2,2024-02,Saudi Arabian Grand Prix,RUS,Mercedes,7,8,87.472,88.316,0.009648802
2024,2,2024-02,Saudi Arabian Grand Prix,HAM,Mercedes,8,9,87.472,88.46,0.011295043
2024,2,2024-02,Saudi Arabian Grand Prix,TSU,Racing Bulls,9,10,87.472,88.547,0.012289647
2024,2,2024-02,Saudi Arabian Grand Prix,STR,Aston Martin,10,7,87.472,88.25,0.008894275
2024,2,2024-02,Saudi Arabian Grand Prix,BEA,Ferrari,11,11,87.472,88.642,0.013375709
2024,2,2024-02,Saudi Arabian Grand Prix,ALB,Williams,12,12,87.472,88.98,0.017239802
2024,2,2024-02,Saudi Arabian Grand Prix,MAG,Haas F1 Team,13,13,87.472,89.02,0.017697092
