Season,Round,Season_Round,Grand_Prix,Driver,Team,Status,Completed_Laps,Max_Laps,Race_Position,Pole_Race_Time,Total_Race_Time,Normalised_Race_Pole_Gap
2025,1,2025-01,Australian Grand Prix,NOR,McLaren,Finished,57,57,1,5295.55526,5481.699999,0.03515112766475026
2025,1,2025-01,Australian Grand Prix,VER,Red Bull Racing,Finished,57,57,2,5295.55526,5477.080999,0.03427888674321933
2025,1,2025-01,Australian Grand Prix,RUS,Mercedes,Finished,57,57,3,5295.55526,5495.375999,0.03773367082189605
2025,1,2025-01,Australian Grand Prix,ANT,Mercedes,Finished,57,57,4,5295.55526,5647.285999,0.06641999218793915
2025,1,2025-01,Australian Grand Prix,ALB,Williams,Finished,57,57,5,5295.55526,5652.308999,0.06736852350399225
2025,1,2025-01,Australian Grand Prix,STR,Aston Martin,Finished,57,57,6,5295.55526,5655.426999,0.0679573191726075
2025,1,2025-01,Australian Grand Prix,HUL,Kick Sauber,Finished,57,57,7,5295.55526,5655.968999,0.06805966915733763
2025,1,2025-01,Australian Grand Prix,LEC,Ferrari,Finished,57,57,8,5295.55526,5508.476999,0.040207632353174594
2025,1,2025-01,Australian Grand Prix,PIA,McLaren,Finished,57,57,9,5295.55526,5308.391999,0.002424059115568644
2025,1,2025-01,Australian Grand Prix,HAM,Ferrari,Finished,57,57,10,5295.55526,5510.260999,0.04054451864977793
2025,1,2025-01,Australian Grand Prix,GAS,Alpine,Finished,57,57,11,5295.55526,5664.014999,0.06957905656903662
2025,1,2025-01,Australian Grand Prix,TSU,Racing Bulls,Finished,57,57,12,5295.55526,5516.541999,0.04173060767946746
2025,1,2025-01,Australian Grand Prix,OCO,Haas F1 Team,Finished,57,57,13,5295.55526,5503.980999,0.039358618457698835
2025,1,2025-01,Australian Grand Prix,BEA,Haas F1 Team,Finished,57,57,14,5295.55526,5505.113999,0.03957257147005966
2025,1,2025-01,Australian Grand Prix,LAW,Red Bull Racing,Retired,46,57,15,5295.55526,5295.55526,0.0
2025,1,2025-01,Australian Grand Prix,BOR,Kick Sauber,Retired,45,57,16,5295.55526,5331.249266,0.006740370791636252
2025,1,2025-01,Australian Grand Prix,ALO,Aston Martin,Retired,32,57,17,5295.55526,,
2025,2,2025-02,Chinese Grand Prix,PIA,McLaren,Finished,56,56,1,5455.025999,5455.025999,0.0
