Season,Round,Season_Round,Grand_Prix,Driver,Team,Status,Completed_Laps,Max_Laps,Race_Position,Pole_Race_Time,Total_Race_Time,Normalised_Race_Pole_Gap
2018,1,2018-01,Australian Grand Prix,VET,Ferrari,Finished,58,58,1,5373.282999,5373.282999,0
2018,1,2018-01,Australian Grand Prix,HAM,Mercedes,Finished,58,58,2,5373.282999,5378.318999,0.00093723
2018,1,2018-01,Australian Grand Prix,RAI,Ferrari,Finished,58,58,3,5373.282999,5379.591999,0.001174143
2018,1,2018-01,Australian Grand Prix,RIC,Red Bull Racing,Finished,58,58,4,5373.282999,5380.351999,0.001315583
2018,1,2018-01,Australian Grand Prix,ALO,McLaren,Finished,58,58,5,5373.282999,5401.168999,0.005189751
2018,1,2018-01,Australian Grand Prix,VER,Red Bull Racing,Finished,58,58,6,5373.282999,5402.227999,0.005386837
2018,1,2018-01,Australian Grand Prix,HUL,Alpine,Finished,58,58,7,5373.282999,5405.953999,0.006080268
2018,1,2018-01,Australian Grand Prix,BOT,Mercedes,Finished,58,58,8,5373.282999,5407.621999,0.006390693
2018,1,2018-01,Australian Grand Prix,VAN,McLaren,Finished,58,58,9,5373.282999,5408.203999,0.006499006
2018,1,2018-01,Australian Grand Prix,SAI,Alpine,Finished,58,58,10,5373.282999,5419.004999,0.008509137
2018,1,2018-01,Australian Grand Prix,PER,Force India,Finished,58,58,11,5373.282999,5420.1,0.008712923
2018,1,2018-01,Australian Grand Prix,OCO,Force India,Finished,58,58,12,5373.282999,5433.560999,0.011218095
2018,1,2018-01,Australian Grand Prix,LEC,Kick Sauber,Finished,58,58,13,5373.282999,5449.042,0.014099202
2018,1,2018-01,Australian Grand Prix,STR,Williams,Finished,58,58,14,5373.282999,5451.570999,0.014569864
2018,1,2018-01,Australian Grand Prix,HAR,Racing Bulls,+1 Lap,57,58,15,5373.282999,5490.421438,0.021800162
2018,1,2018-01,Australian Grand Prix,GRO,Haas F1 Team,Wheel,24,58,16,5373.282999,,
2018,1,2018-01,Australian Grand Prix,MAG,Haas F1 Team,Wheel,22,58,17,5373.282999,,
2018,1,2018-01,Australian Grand Prix,GAS,Racing Bulls,Engine,13,58,18,5373.282999,,
2018,1,2018-01,Australian Grand Prix,ERI,Kick Sauber,Steering,5,58,19,5373.282999,,
2018,1,2018-01,Australian Grand Prix,SIR,Williams,Brakes,4,58,20,5373.282999,,
2018,2,2018-02,Bahrain Grand Prix,VET,Ferrari,Finished,56,57,1,5487.060999,5522.649589,0.006485911
2018,2,2018-02,Bahrain Grand Prix,BOT,Mercedes,Finished,56,57,2,5487.060999,5523.415017,0.006625408
2018,2,2018-02,Bahrain Grand Prix,HAM,Mercedes,Finished,56,57,3,5487.060999,5529.596464,0.007751958
2018,2,2018-02,Bahrain Grand Prix,GAS,Racing Bulls,Finished,57,57,4,5487.060999,5487.060999,0
2018,2,2018-02,Bahrain Grand Prix,MAG,Haas F1 Team,Finished,57,57,5,5487.060999,5596.985999,0.020033493
